FILE_NAME	RUN	EXPERIMENT	LAB	POP	CENTER	LAB-POP-CENTER
ERR188040_quant.sf	ERR188040	ERS185276	1	GBR	UNIGE	1-GBR-UNIGE
ERR188231_quant.sf	ERR188231	ERS185206	7	GBR	LUMC	7-GBR-LUMC
ERR188428_quant.sf	ERR188428	ERS185128	5	GBR	HMGU	5-GBR-HMGU
ERR188206_quant.sf	ERR188206	ERS185086	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188307_quant.sf	ERR188307	ERS185085	1	GBR	UNIGE	1-GBR-UNIGE
ERR188416_quant.sf	ERR188416	ERS185453	3	GBR	MPIMG	3-GBR-MPIMG
ERR188136_quant.sf	ERR188136	ERS185490	4	GBR	ICMB	4-GBR-ICMB
ERR188247_quant.sf	ERR188247	ERS185300	1	GBR	UNIGE	1-GBR-UNIGE
ERR188368_quant.sf	ERR188368	ERS185272	3	GBR	MPIMG	3-GBR-MPIMG
ERR188167_quant.sf	ERR188167	ERS185411	4	GBR	ICMB	4-GBR-ICMB
ERR188166_quant.sf	ERR188166	ERS185074	7	GBR	LUMC	7-GBR-LUMC
ERR188328_quant.sf	ERR188328	ERS185395	3	GBR	MPIMG	3-GBR-MPIMG
ERR188082_quant.sf	ERR188082	ERS185368	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188342_quant.sf	ERR188342	ERS185191	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188465_quant.sf	ERR188465	ERS185175	6	GBR	UU	6-GBR-UU
ERR188071_quant.sf	ERR188071	ERS185155	6	GBR	UU	6-GBR-UU
ERR188186_quant.sf	ERR188186	ERS185464	6	GBR	UU	6-GBR-UU
ERR188293_quant.sf	ERR188293	ERS185035	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188219_quant.sf	ERR188219	ERS185322	1	GBR	UNIGE	1-GBR-UNIGE
ERR188236_quant.sf	ERR188236	ERS185083	4	GBR	ICMB	4-GBR-ICMB
ERR188119_quant.sf	ERR188119	ERS185402	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188315_quant.sf	ERR188315	ERS185405	3	GBR	MPIMG	3-GBR-MPIMG
ERR188087_quant.sf	ERR188087	ERS185241	1	GBR	UNIGE	1-GBR-UNIGE
ERR188285_quant.sf	ERR188285	ERS185162	6	GBR	UU	6-GBR-UU
ERR188035_quant.sf	ERR188035	ERS185352	4	GBR	ICMB	4-GBR-ICMB
