#mm10.knownToEnsembl.name	mm10.knownToEnsembl.value	mm10.kgXref.geneSymbol	mm10.kgXref.refseq
uc029vcy.1	ENSMUST00000179115	Vmn2r122	NM_009492
uc029vcz.1	ENSMUST00000071277	Vmn2r122	NM_009488
uc029vda.1	ENSMUST00000071277	Vmn2r122	
uc009vev.1	ENSMUST00000082388	AK140265	
uc009vew.1	ENSMUST00000082390	AK018753	
uc009vex.2	ENSMUST00000082396	AK163440	
uc009vey.1	ENSMUST00000082402	DQ539915	
uc009vez.1	ENSMUST00000082405	AK131586	
uc009vfa.1	ENSMUST00000082408	AK131579	
uc009vfb.1	ENSMUST00000082414	AK142750	
uc009vfc.1	ENSMUST00000082418	X57780	
uc009vdc.1	ENSMUST00000077235	Dhrsx	NM_001033326
uc029xhi.1	ENSMUST00000178343	Pisd-ps3	
uc029xhj.1	ENSMUST00000179505	Pisd-ps3	
uc029xho.1	ENSMUST00000178343	Pisd-ps3	
uc008idj.1	ENSMUST00000179715	AK156902	
uc008idk.1	ENSMUST00000115924	Sp110	
uc008idl.1	ENSMUST00000115924	AK163333	
uc008ide.2	ENSMUST00000177562	AK139759	
uc009veq.3	ENSMUST00000177783	Vmn1r186	NM_001167567
uc012fyf.1	ENSMUST00000177979	Vmn1r187	NM_001167568
uc029vsz.2	ENSMUST00000180291	Gm16513	NM_001200055
uc033inz.3	ENSMUST00000179146	A430089I19Rik	
uc029ves.1	ENSMUST00000107987	Ccl27b	NM_001199966
uc029vet.1	ENSMUST00000177905	Gm13306	NM_001199965
uc029veu.1	ENSMUST00000179240	Gm2002	NM_001100596
uc029vfg.2	ENSMUST00000118540	Ccl19	NM_011888
uc029vfh.1	ENSMUST00000178919	Gm1987	NM_001193667
uc029vso.1	ENSMUST00000178291	A430089I19Rik	NM_177913
uc029vss.1	ENSMUST00000178296	Gm7978	NM_001270457
uc029vsp.2	ENSMUST00000179140	E330014E10Rik	NM_001167793
uc057lov.1	ENSMUST00000178466	Gm3139	
uc029vsw.1	ENSMUST00000177853	A430089I19Rik	NM_177913
uc057low.1	ENSMUST00000177719	Gm3139	
uc009oad.2	ENSMUST00000111423	LOC664787	NR_131980
uc009oae.1	ENSMUST00000078827	Csprs	NM_033616
uc029tuz.1	ENSMUST00000078827	Csprs	
uc029vdb.2	ENSMUST00000179253	Il11ra2	NM_010550
uc029vdc.1	ENSMUST00000179281	Gm13306	NM_001267704
